workerid,rt,color,label,item,slide_number_in_experiment,response,condition,size,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,3112,pink,a pink teacup,teacup,12,0.21,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3014,red,a red stapler,stapler,13,0.73,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2714,orange,an orange cushion,cushion,14,0.76,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2199,red,a tack,tack,15,0.75,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2704,red, red yarn,yarn,16,0.76,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2231,purple,a bike,bike,17,0.31,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3327,purple,a purple coat hanger,coathanger,18,0.18,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2679,blue,a blue toothbrush,toothbrush,19,0.19,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3672,blue,a blue comb,comb,20,0.66,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2817,pink,a hair dryer,hairdryer,21,0.27,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2279,brown,a brown turtle,turtle,22,0.72,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2128,black,a black book,book,23,0.74,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2284,blue,a blue rug,rug,24,0.81,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2260,red,a red candle,candle,25,0.9,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2726,orange,a napkin,napkin,26,0.72,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3082,blue,a blue binder,binder,27,0.76,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2632,purple,a purple ornament,ornament,28,0.85,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2185,orange,a cap,cap,29,0.74,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2224,yellow,a shoe,shoe,30,0.34,unmodified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,2223,pink,a pink bucket,bucket,31,0.31,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,3417,blue,a blue golf ball,golfball,32,1,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
0,4848,purple,a purple flower,flower,33,0.41,modified,big,English,2,Male,23,,Yes,3,Windows,1024,1280,Chrome,3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,38NEE7DWQJ0Z936PRCWX9HV57N80TG,Language study,A 5-minute study where you label objects.,language experiment study communication stanford fun cognitive science,$0.25,Tue Mar 01 10:54:02 PST 2016,60,0,0,0,Reviewable,NotReviewed,1 cond,4800,60000,Thu Mar 31 11:54:02 PDT 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3G4VVJO6PYFJ5AB3LWSE3BGPO34KP2,3BWI6RSP7G8UZODNJQSWTE8LDUS7EC,0,Submitted,Wed Mar 02 03:36:43 PST 2016,Tue Mar 01 10:54:30 PST 2016,Tue Mar 01 10:56:43 PST 2016,,,,,,[],{},2.1364833333333335
