gameid	time	roundNum	trialType	condition	nameClickedObj	targetStatusClickedObj	spLocsClickedObj	lisLocsClickedObj	basiclevelClickedObj	superdomainClickedObj	alt1Name	alt1TargetStatus	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2TargetStatus	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain	alt3Name	alt3TargetStatus	alt3SpLocs	alt3LisLocs	alt3Basiclevel	alt3superdomain	alt4Name	alt4TargetStatus	alt4SpLocs	alt4LisLocs	alt4Basiclevel	alt4superdomain	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor	colors	sizes	types	oneMentioned	theMentioned
4242-5	1455301698255	61	colorSizeTrial	size32	big_green_pepper	target	1	1	NA	NA	small_red_pepper	distractor	4	3	NA	NA	small_green_pepper	distractor	3	2	NA	NA	small_green_pepper	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the big green pepper		1455301695730	the big green pepper	True	True	True	pepper	big	green	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301714494	63	colorSizeTrial	color41	big_pink_bucket	target	1	1	NA	NA	small_red_bucket	distractor	3	3	NA	NA	small_red_bucket	distractor	2	4	NA	NA	big_red_bucket	distractor	4	5	NA	NA	small_red_bucket	distractor	5	2	NA	NA	1	1	0	the big pink bucket		1455301713326	the big pink bucket	True	True	True	bucket	big	pink	TRUE	TRUE	TRUE	FALSE	TRUE
4242-5	1455301721731	64	colorSizeTrial	color32	big_orange_coathanger	target	4	4	NA	NA	big_purple_coathanger	distractor	3	2	NA	NA	small_purple_coathanger	distractor	2	3	NA	NA	big_purple_coathanger	distractor	1	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	the yellow hanger		1455301720059	the yellow hanger	False	False	False	coathanger	big	orange	TRUE	FALSE	FALSE	FALSE	TRUE
4242-5	1455301762745	69	colorSizeTrial	color43	big_orange_napkin	target	2	4	NA	NA	big_yellow_napkin	distractor	4	1	NA	NA	small_yellow_napkin	distractor	3	5	NA	NA	big_yellow_napkin	distractor	5	2	NA	NA	big_yellow_napkin	distractor	1	3	NA	NA	1	1	0	the orange napkin		1455301761355	the orange napkin	False	True	True	napkin	big	orange	TRUE	FALSE	TRUE	FALSE	TRUE
4242-5	1455301786624	72	colorSizeTrial	size41	small_purple_flower	target	4	4	NA	NA	big_red_flower	distractor	2	1	NA	NA	big_purple_flower	distractor	5	2	NA	NA	big_red_flower	distractor	3	3	NA	NA	big_red_flower	distractor	1	5	NA	NA	1	1	0	the small purple flower		1455301785165	the small purple flower	True	True	True	flower	small	purple	TRUE	TRUE	TRUE	FALSE	TRUE
5664-b	1455301032073	1	colorSizeTrial	size43	small_white_phone	target	5	4	NA	NA	big_white_phone	distractor	4	1	NA	NA	big_white_phone	distractor	2	5	NA	NA	big_pink_phone	distractor	1	2	NA	NA	big_white_phone	distractor	3	3	NA	NA	2	2	0	white phone___smallest phone		1455301012412___1455301025173	white phone	False	True	True	phone	small	white	TRUE	FALSE	TRUE	FALSE	FALSE
5664-b	1455301048018	2	colorSizeTrial	size44	small_blue_ornament	target	2	4	NA	NA	big_blue_ornament	distractor	5	1	NA	NA	big_blue_ornament	distractor	4	5	NA	NA	big_blue_ornament	distractor	3	3	NA	NA	big_blue_ornament	distractor	1	2	NA	NA	1	1	0	smallest one		1455301045497	smallest one	False	False	False	ornament	small	blue	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301058742	3	colorSizeTrial	color31	small_blue_cap	target	1	2	NA	NA	big_orange_cap	distractor	3	4	NA	NA	big_orange_cap	distractor	2	1	NA	NA	small_orange_cap	distractor	4	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	blue one		1455301057083	blue one	False	True	False	cap	small	blue	TRUE	FALSE	FALSE	TRUE	FALSE
5664-b	1455301066196	4	colorSizeTrial	color32	small_yellow_balloon	target	1	4	NA	NA	big_pink_balloon	distractor	3	3	NA	NA	small_pink_balloon	distractor	4	2	NA	NA	small_pink_balloon	distractor	2	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	yellow		1455301064645	yellow	False	True	False	balloon	small	yellow	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301117367	12	colorSizeTrial	color33	big_green_framee	target	3	1	NA	NA	big_pink_framee	distractor	2	4	NA	NA	big_pink_framee	distractor	1	2	NA	NA	big_pink_framee	distractor	4	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	green		1455301115741	green	False	True	False	framee	big	green	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301132176	13	colorSizeTrial	color43	big_brown_turtle	target	2	5	NA	NA	big_black_turtle	distractor	4	3	NA	NA	big_black_turtle	distractor	5	1	NA	NA	small_black_turtle	distractor	3	2	NA	NA	big_black_turtle	distractor	1	4	NA	NA	1	1	0	light-colored turtle		1455301130347	light-colored turtle	False	False	True	turtle	big	brown	TRUE	FALSE	TRUE	FALSE	FALSE
5664-b	1455301138050	14	colorSizeTrial	size22	big_red_stapler	target	4	3	NA	NA	small_red_stapler	distractor	3	4	NA	NA	small_red_stapler	distractor	2	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	biggest one		1455301136637	biggest one	False	False	False	stapler	big	red	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301152915	16	colorSizeTrial	size44	small_green_pepper	target	5	2	NA	NA	big_green_pepper	distractor	2	3	NA	NA	big_green_pepper	distractor	3	4	NA	NA	big_green_pepper	distractor	1	5	NA	NA	big_green_pepper	distractor	4	1	NA	NA	1	1	0	smallest one		1455301150495	smallest one	False	False	False	pepper	small	green	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301159347	17	colorSizeTrial	size33	small_purple_coathanger	target	4	1	NA	NA	big_purple_coathanger	distractor	3	3	NA	NA	big_purple_coathanger	distractor	1	4	NA	NA	big_purple_coathanger	distractor	2	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	2	1	1	smallest one	doing great	1455301155432___1455301157714	smallest one	False	False	False	coathanger	small	purple	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301170070	19	colorSizeTrial	size33	small_purple_yarn	target	2	4	NA	NA	big_purple_yarn	distractor	1	3	NA	NA	big_purple_yarn	distractor	3	2	NA	NA	big_purple_yarn	distractor	4	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	smallest one		1455301168771	smallest one	False	False	False	yarn	small	purple	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301182255	21	colorSizeTrial	color41	big_black_book	target	3	2	NA	NA	small_blue_book	distractor	2	1	NA	NA	big_blue_book	distractor	4	5	NA	NA	small_blue_book	distractor	1	3	NA	NA	small_blue_book	distractor	5	4	NA	NA	1	1	0	black		1455301180920	black	False	True	False	book	big	black	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301209845	25	colorSizeTrial	color42	big_pink_weddingcake	target	4	3	NA	NA	big_white_weddingcake	distractor	5	4	NA	NA	small_white_weddingcake	distractor	1	5	NA	NA	small_white_weddingcake	distractor	2	2	NA	NA	big_white_weddingcake	distractor	3	1	NA	NA	1	1	0	pink		1455301208533	pink	False	True	False	weddingcake	big	pink	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301214129	26	colorSizeTrial	color22	small_blue_toothbrush	target	3	3	NA	NA	small_red_toothbrush	distractor	2	2	NA	NA	small_red_toothbrush	distractor	4	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	blue		1455301213005	blue	False	True	False	toothbrush	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301218324	27	colorSizeTrial	color41	small_green_rock	target	5	4	NA	NA	big_purple_rock	distractor	1	1	NA	NA	big_purple_rock	distractor	3	2	NA	NA	big_purple_rock	distractor	4	3	NA	NA	small_purple_rock	distractor	2	5	NA	NA	1	1	0	green		1455301217298	green	False	True	False	rock	small	green	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301226038	28	colorSizeTrial	size41	small_green_avocado	target	1	5	NA	NA	big_black_avocado	distractor	5	3	NA	NA	big_black_avocado	distractor	3	2	NA	NA	big_green_avocado	distractor	2	1	NA	NA	big_black_avocado	distractor	4	4	NA	NA	1	1	0	smallest green		1455301224941	smallest green	False	True	False	avocado	small	green	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301232816	29	colorSizeTrial	size31	small_orange_napkin	target	3	4	NA	NA	big_orange_napkin	distractor	2	2	NA	NA	big_yellow_napkin	distractor	4	1	NA	NA	big_yellow_napkin	distractor	1	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	smallest orange		1455301231459	smallest orange	False	True	False	napkin	small	orange	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301261935	33	colorSizeTrial	color42	small_purple_bike	target	2	1	NA	NA	big_red_bike	distractor	4	5	NA	NA	small_red_bike	distractor	1	3	NA	NA	big_red_bike	distractor	5	2	NA	NA	small_red_bike	distractor	3	4	NA	NA	1	1	0	purple		1455301260647	purple	False	True	False	bike	small	purple	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301266910	34	colorSizeTrial	color21	small_red_candle	target	3	2	NA	NA	big_blue_candle	distractor	4	3	NA	NA	small_blue_candle	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	red		1455301264764	red	False	True	False	candle	small	red	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301279880	36	colorSizeTrial	color32	small_white_teacup	target	1	2	NA	NA	small_pink_teacup	distractor	3	3	NA	NA	small_pink_teacup	distractor	4	1	NA	NA	big_pink_teacup	distractor	2	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	white one		1455301278481	white one	False	True	False	teacup	small	white	TRUE	FALSE	FALSE	TRUE	FALSE
5664-b	1455301284870	37	colorSizeTrial	color44	big_orange_cushion	target	1	3	NA	NA	big_blue_cushion	distractor	5	2	NA	NA	big_blue_cushion	distractor	3	1	NA	NA	big_blue_cushion	distractor	2	5	NA	NA	big_blue_cushion	distractor	4	4	NA	NA	1	1	0	orange		1455301283691	orange	False	True	False	cushion	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301329499	43	colorSizeTrial	size41	small_red_bucket	target	3	5	NA	NA	big_red_bucket	distractor	1	3	NA	NA	big_pink_bucket	distractor	5	1	NA	NA	big_pink_bucket	distractor	2	4	NA	NA	big_pink_bucket	distractor	4	2	NA	NA	1	1	0	smallest red		1455301328136	smallest red	False	True	False	bucket	small	red	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301353195	46	colorSizeTrial	size43	big_purple_flower	target	5	2	NA	NA	small_purple_flower	distractor	3	3	NA	NA	small_red_flower	distractor	1	1	NA	NA	small_purple_flower	distractor	4	5	NA	NA	small_purple_flower	distractor	2	4	NA	NA	1	1	0	biggest pink one		1455301350767	biggest pink one	False	False	False	flower	big	purple	TRUE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301368522	49	colorSizeTrial	size22	big_purple_hairdryer	target	2	4	NA	NA	small_purple_hairdryer	distractor	4	3	NA	NA	small_purple_hairdryer	distractor	3	2	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	biggest one		1455301367266	biggest one	False	False	False	hairdryer	big	purple	FALSE	TRUE	FALSE	TRUE	FALSE
5664-b	1455301374118	50	colorSizeTrial	size32	small_red_tack	target	3	1	NA	NA	big_blue_tack	distractor	1	3	NA	NA	big_red_tack	distractor	2	2	NA	NA	big_red_tack	distractor	4	4	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	smallest red		1455301372924	smallest red	False	True	False	tack	small	red	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301407773	55	colorSizeTrial	size21	small_brown_jacket	target	3	2	NA	NA	big_brown_jacket	distractor	4	4	NA	NA	big_green_jacket	distractor	2	3	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	smallest brown		1455301406560	smallest brown	False	True	False	jacket	small	brown	TRUE	TRUE	FALSE	FALSE	FALSE
5664-b	1455301419173	57	colorSizeTrial	color43	big_green_guitar	target	1	1	NA	NA	small_blue_guitar	distractor	4	2	NA	NA	big_blue_guitar	distractor	3	5	NA	NA	big_blue_guitar	distractor	5	3	NA	NA	big_blue_guitar	distractor	2	4	NA	NA	1	1	0	green		1455301416041	green	False	True	False	guitar	big	green	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301423880	58	colorSizeTrial	color33	small_yellow_shoe	target	3	4	NA	NA	small_white_shoe	distractor	2	3	NA	NA	small_white_shoe	distractor	1	2	NA	NA	small_white_shoe	distractor	4	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	yellow		1455301422896	yellow	False	True	False	shoe	small	yellow	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301428274	59	colorSizeTrial	color31	big_blue_rug	target	4	4	NA	NA	big_purple_rug	distractor	2	3	NA	NA	small_purple_rug	distractor	1	2	NA	NA	small_purple_rug	distractor	3	1	NA	NA	undefined	undefined	undefined	undefined	undefined	undefined	1	1	0	blue		1455301426733	blue	False	True	False	rug	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE
5664-b	1455301434187	60	colorSizeTrial	size42	big_pink_golfball	target	3	1	NA	NA	small_blue_golfball	distractor	1	5	NA	NA	small_blue_golfball	distractor	2	2	NA	NA	small_pink_golfball	distractor	5	3	NA	NA	small_pink_golfball	distractor	4	4	NA	NA	1	1	0	biggest pink		1455301432728	biggest pink	False	True	False	golfball	big	pink	TRUE	TRUE	FALSE	FALSE	FALSE
