condition,t_color,t_item,d1_color,d1_item,d2_color,d2_item
overinformative,yellow,banana,purple,carrot,green,pear
overinformative-cc,green,tomato,brown,banana,red,tomato
overinformative,orange,pear,brown,banana,red,pepper
informative-cc,black,pepper,black,avocado,orange,pepper
overinformative-cc,green,avocado,purple,carrot,green,pepper
overinformative-cc,yellow,pear,yellow,banana,purple,carrot
overinformative,black,pepper,blue,apple,red,tomato
informative,brown,banana,green,avocado,yellow,banana
informative,blue,banana,yellow,banana,black,pepper
overinformative-cc,black,avocado,yellow,banana,black,pepper
informative-cc,brown,carrot,brown,banana,purple,carrot
informative,blue,apple,green,apple,purple,tomato
informative,red,avocado,green,avocado,orange,pear
overinformative-cc,red,apple,yellow,pear,red,tomato
informative,orange,carrot,brown,banana,purple,carrot
overinformative,purple,carrot,green,avocado,green,pear
informative,purple,tomato,red,avocado,red,tomato
overinformative,red,apple,green,avocado,black,pepper
overinformative-cc,green,avocado,brown,banana,green,pepper
overinformative-cc,yellow,pear,black,avocado,yellow,banana
overinformative,green,tomato,orange,carrot,orange,pear
overinformative-cc,yellow,banana,orange,pear,yellow,pear
overinformative,blue,apple,orange,pear,yellow,pear
overinformative,red,tomato,orange,carrot,orange,pear
informative,orange,pepper,brown,carrot,red,pepper
informative,blue,banana,brown,banana,purple,carrot
informative,purple,tomato,yellow,banana,green,tomato
informative,green,avocado,black,avocado,black,pepper
overinformative-cc,brown,carrot,brown,banana,green,tomato
informative-cc,orange,carrot,brown,carrot,orange,pepper
overinformative-cc,red,pepper,purple,carrot,orange,pear
informative-cc,black,avocado,green,avocado,black,pepper
informative-cc,green,apple,red,apple,green,tomato
overinformative-cc,orange,carrot,red,avocado,orange,pepper
informative,black,pepper,blue,apple,red,pepper
informative-cc,purple,carrot,orange,carrot,purple,tomato
informative-cc,yellow,pear,yellow,banana,orange,pear
overinformative,red,avocado,blue,apple,brown,banana
overinformative,green,apple,orange,carrot,orange,pepper
informative,orange,pear,blue,apple,green,pear
overinformative,orange,pepper,red,apple,yellow,banana
overinformative-cc,brown,banana,green,apple,brown,carrot
overinformative,purple,carrot,red,avocado,green,tomato
overinformative-cc,blue,apple,blue,banana,purple,tomato
informative,red,avocado,black,avocado,yellow,banana
overinformative,blue,banana,orange,carrot,red,pepper
overinformative-cc,black,avocado,blue,apple,black,pepper
overinformative-cc,black,pepper,black,avocado,yellow,pear
informative,green,pear,yellow,banana,yellow,pear
overinformative,blue,apple,orange,pepper,green,tomato
informative,orange,carrot,black,avocado,brown,carrot
overinformative,black,pepper,red,avocado,brown,banana
overinformative-cc,brown,carrot,green,avocado,brown,banana
informative,green,apple,red,apple,brown,banana
informative,orange,pepper,green,pear,black,pepper
overinformative-cc,yellow,banana,green,apple,yellow,pear
overinformative-cc,green,tomato,red,pepper,red,tomato
overinformative,yellow,pear,black,avocado,green,avocado
overinformative-cc,orange,carrot,green,apple,orange,pepper
overinformative-cc,purple,tomato,orange,carrot,green,pear
informative-cc,purple,carrot,brown,carrot,purple,tomato
informative,yellow,pear,green,pear,purple,tomato
overinformative,red,apple,yellow,banana,purple,carrot
informative,purple,carrot,brown,banana,brown,carrot
overinformative,red,avocado,orange,carrot,purple,tomato
informative,purple,tomato,red,avocado,green,tomato
overinformative,brown,banana,red,apple,red,tomato
overinformative,black,avocado,brown,banana,orange,pepper
overinformative,brown,carrot,green,avocado,red,avocado
overinformative,red,tomato,blue,apple,brown,banana
overinformative,green,avocado,blue,apple,red,pepper
informative,green,pear,blue,apple,orange,pear
overinformative,blue,banana,green,pear,red,tomato
informative,black,avocado,green,apple,green,avocado
informative,red,apple,green,apple,black,avocado
overinformative,yellow,banana,blue,apple,black,pepper
overinformative-cc,brown,banana,brown,carrot,black,pepper
informative,green,avocado,red,avocado,red,tomato
informative,orange,pear,green,pear,purple,tomato
overinformative,orange,pepper,green,apple,red,avocado
informative-cc,green,tomato,red,tomato,red,tomato
overinformative,blue,banana,green,apple,orange,carrot
overinformative,brown,banana,green,apple,orange,carrot
overinformative,orange,pepper,green,pear,red,tomato
informative,black,pepper,orange,pepper,purple,tomato
informative,red,pepper,orange,pepper,purple,tomato
overinformative,green,pear,black,avocado,brown,carrot
overinformative,purple,carrot,red,avocado,blue,banana
informative,green,avocado,red,avocado,yellow,banana
overinformative,brown,carrot,green,pear,red,pepper
overinformative-cc,yellow,banana,green,pear,yellow,pear
overinformative-cc,yellow,pear,yellow,banana,red,pepper
overinformative-cc,purple,tomato,green,avocado,green,pear
informative-cc,red,avocado,red,apple,black,avocado
overinformative,purple,tomato,yellow,banana,red,pepper
overinformative,blue,apple,green,pear,orange,pepper
informative-cc,yellow,banana,brown,banana,yellow,pear
informative,black,avocado,green,avocado,purple,tomato
overinformative-cc,green,apple,yellow,banana,green,tomato
informative,orange,pepper,blue,banana,black,pepper
informative,orange,carrot,green,apple,brown,carrot
overinformative-cc,red,tomato,brown,carrot,purple,carrot
overinformative,orange,pear,brown,carrot,red,tomato
informative,red,tomato,blue,banana,green,tomato
informative,blue,apple,red,apple,orange,pear
overinformative,green,tomato,orange,carrot,yellow,pear
informative,green,tomato,black,pepper,purple,tomato
overinformative,red,avocado,brown,banana,orange,pepper
informative,green,pear,brown,carrot,yellow,pear
informative-cc,yellow,banana,blue,banana,yellow,pear
overinformative-cc,purple,tomato,green,pear,black,pepper
overinformative,brown,carrot,black,pepper,purple,tomato
overinformative-cc,brown,banana,brown,carrot,red,pepper
overinformative,brown,banana,blue,apple,red,avocado
informative,red,tomato,blue,apple,purple,tomato
overinformative,orange,carrot,red,apple,blue,banana
overinformative,yellow,pear,black,avocado,black,pepper
overinformative,blue,apple,purple,carrot,yellow,pear
informative-cc,black,pepper,black,avocado,red,pepper
informative,red,apple,blue,apple,orange,pear
informative,purple,carrot,red,avocado,orange,carrot
overinformative,red,pepper,blue,banana,brown,banana
overinformative,red,avocado,orange,pear,green,tomato
overinformative,green,avocado,orange,carrot,yellow,pear
overinformative,orange,pepper,black,avocado,brown,banana
informative,brown,carrot,red,apple,purple,carrot
informative,orange,pear,red,avocado,green,pear
overinformative-cc,blue,apple,blue,banana,purple,carrot
overinformative-cc,green,tomato,orange,carrot,red,tomato
overinformative,purple,tomato,green,apple,red,pepper
informative,green,apple,red,apple,purple,tomato
overinformative-cc,blue,banana,blue,apple,green,pear
overinformative-cc,green,apple,orange,pear,green,tomato
informative,black,pepper,blue,banana,red,pepper
informative-cc,orange,pepper,green,avocado,red,pepper
overinformative,black,avocado,green,apple,green,pear
informative,blue,banana,brown,banana,orange,pepper
overinformative-cc,red,pepper,green,pear,orange,pear
overinformative,black,pepper,green,apple,blue,banana
overinformative,orange,pear,red,avocado,purple,tomato
overinformative,black,avocado,green,apple,red,tomato
informative,green,tomato,blue,banana,red,tomato
overinformative,blue,apple,brown,banana,yellow,banana
overinformative,orange,pepper,green,tomato,red,tomato
informative,blue,banana,black,avocado,brown,banana
overinformative,green,avocado,red,apple,orange,carrot
overinformative-cc,red,tomato,purple,carrot,yellow,pear
informative,black,pepper,yellow,banana,orange,pepper
informative-cc,purple,tomato,green,pear,red,tomato
overinformative,brown,banana,red,apple,purple,tomato
informative,red,apple,green,apple,yellow,pear
overinformative-cc,green,tomato,yellow,banana,red,tomato
overinformative,red,pepper,blue,apple,green,tomato
overinformative-cc,brown,carrot,brown,banana,red,tomato
informative,red,tomato,green,pear,green,tomato
informative,yellow,banana,blue,banana,orange,pear
overinformative-cc,red,pepper,orange,pear,green,tomato
overinformative-cc,blue,banana,blue,apple,purple,carrot
informative,green,avocado,black,avocado,purple,carrot
overinformative-cc,purple,tomato,green,pear,yellow,pear
overinformative-cc,red,avocado,blue,apple,red,apple
overinformative-cc,blue,apple,blue,banana,yellow,pear
overinformative-cc,purple,tomato,yellow,banana,green,pear
overinformative-cc,orange,pear,orange,carrot,black,pepper
informative,orange,pear,purple,carrot,green,pear
overinformative-cc,green,pear,green,apple,brown,banana
overinformative,green,tomato,yellow,banana,black,pepper
informative,purple,carrot,black,avocado,brown,carrot
overinformative-cc,red,apple,black,pepper,red,tomato
overinformative-cc,green,avocado,green,pepper,purple,tomato
informative,blue,banana,green,avocado,brown,banana
overinformative,red,apple,green,avocado,orange,pepper
informative,blue,apple,red,apple,red,tomato
informative,orange,carrot,green,apple,purple,carrot
informative,red,pepper,brown,banana,black,pepper
overinformative,green,avocado,brown,banana,yellow,pear
overinformative-cc,red,avocado,red,apple,green,pear
overinformative,orange,carrot,brown,banana,yellow,pear
overinformative,purple,carrot,red,apple,red,pepper
overinformative-cc,yellow,pear,red,apple,yellow,banana
informative,yellow,pear,red,apple,orange,pear
overinformative,brown,banana,green,apple,yellow,pear
informative,red,tomato,brown,carrot,purple,tomato
overinformative,black,avocado,green,pear,red,tomato
overinformative-cc,green,apple,black,pepper,green,tomato
overinformative,brown,carrot,black,avocado,green,tomato
overinformative,green,apple,black,avocado,red,pepper
informative,orange,pepper,red,avocado,black,pepper
overinformative-cc,black,pepper,green,apple,black,avocado
overinformative-cc,orange,pepper,green,avocado,purple,carrot
informative,yellow,banana,blue,banana,orange,pepper
overinformative,blue,apple,black,avocado,red,avocado
informative,green,avocado,red,avocado,orange,carrot
informative,orange,carrot,blue,banana,brown,carrot
informative,green,tomato,orange,pepper,purple,tomato
overinformative-cc,purple,tomato,brown,carrot,green,pear
overinformative-cc,blue,apple,blue,banana,red,tomato
overinformative-cc,red,avocado,red,apple,purple,carrot
informative-cc,red,pepper,orange,pear,black,pepper
overinformative,black,avocado,orange,carrot,purple,tomato
overinformative-cc,green,pear,green,apple,red,tomato
informative,purple,carrot,blue,apple,orange,carrot
informative,brown,banana,blue,banana,purple,tomato
overinformative,purple,carrot,black,avocado,black,pepper
informative,green,apple,blue,apple,orange,pepper
overinformative,green,apple,red,avocado,yellow,banana
overinformative-cc,red,apple,black,avocado,red,tomato
overinformative-cc,orange,pepper,green,avocado,yellow,pear
informative-cc,blue,apple,red,apple,blue,banana
overinformative,yellow,banana,green,avocado,purple,carrot
overinformative-cc,blue,banana,blue,apple,orange,pear
overinformative-cc,green,tomato,blue,apple,red,tomato
overinformative-cc,green,avocado,blue,banana,green,pepper
overinformative-cc,brown,carrot,brown,banana,black,pepper
overinformative,yellow,pear,purple,carrot,green,tomato
overinformative,brown,carrot,red,apple,green,avocado
overinformative-cc,red,pepper,brown,banana,orange,pear
overinformative,red,tomato,orange,carrot,purple,carrot
informative-cc,red,tomato,purple,carrot,green,tomato
informative,blue,banana,brown,banana,red,tomato
overinformative,green,avocado,red,apple,yellow,pear
overinformative,black,pepper,green,avocado,green,pear
overinformative-cc,orange,pepper,green,avocado,brown,carrot
informative-cc,green,pear,green,apple,yellow,pear
overinformative,orange,carrot,blue,banana,red,tomato
overinformative-cc,red,pepper,orange,pear,purple,tomato
informative,yellow,pear,orange,carrot,green,pear
overinformative,brown,carrot,red,apple,red,pepper
informative,green,apple,blue,apple,black,avocado
overinformative,green,pear,brown,carrot,orange,pepper
overinformative,red,apple,black,avocado,green,tomato
informative,yellow,banana,red,apple,blue,banana
overinformative,blue,banana,orange,pear,yellow,pear
overinformative-cc,brown,banana,brown,carrot,green,tomato
overinformative-cc,green,apple,orange,carrot,green,tomato
informative,black,avocado,blue,apple,green,avocado
overinformative-cc,blue,apple,blue,banana,black,pepper
overinformative-cc,yellow,pear,yellow,banana,black,pepper
overinformative-cc,green,tomato,orange,pear,red,tomato
overinformative,orange,pepper,blue,apple,purple,carrot
informative,brown,banana,blue,banana,orange,pear
informative,blue,banana,green,avocado,yellow,banana
informative,red,avocado,green,apple,green,avocado
overinformative-cc,black,avocado,brown,carrot,black,pepper
informative-cc,green,tomato,purple,tomato,red,tomato
overinformative-cc,black,pepper,black,avocado,purple,tomato
overinformative,red,tomato,brown,carrot,orange,pear
informative,purple,carrot,brown,carrot,green,pear
overinformative,orange,pear,black,avocado,brown,banana
overinformative-cc,purple,tomato,green,apple,green,pear
informative-cc,blue,banana,blue,apple,yellow,banana
overinformative-cc,brown,banana,brown,carrot,yellow,pear
informative,orange,pepper,green,apple,red,pepper
overinformative,green,tomato,brown,banana,red,pepper
informative,purple,carrot,red,avocado,brown,carrot
informative,orange,carrot,purple,carrot,yellow,pear
informative,yellow,pear,orange,pear,red,tomato
overinformative-cc,blue,banana,blue,apple,green,avocado
informative,yellow,banana,blue,apple,blue,banana
overinformative-cc,red,apple,blue,banana,red,tomato
informative,green,avocado,red,avocado,purple,carrot
overinformative,red,tomato,orange,carrot,black,pepper
overinformative-cc,red,avocado,red,apple,yellow,banana
overinformative-cc,green,pear,green,apple,red,avocado
informative,blue,apple,red,apple,red,pepper
informative,red,pepper,green,pear,orange,pepper
overinformative-cc,green,apple,purple,carrot,green,tomato
overinformative,orange,pepper,blue,apple,purple,tomato
overinformative-cc,blue,banana,blue,apple,red,avocado
informative,orange,carrot,yellow,banana,purple,carrot
overinformative,purple,carrot,black,pepper,orange,pepper
overinformative,orange,carrot,green,apple,red,pepper
overinformative,yellow,pear,red,avocado,red,pepper
overinformative-cc,yellow,banana,black,avocado,yellow,pear
informative,orange,pear,brown,banana,yellow,pear
overinformative-cc,blue,apple,blue,banana,red,pepper
overinformative,brown,carrot,red,avocado,green,pear
overinformative-cc,brown,banana,brown,carrot,orange,carrot
overinformative,green,pear,brown,banana,brown,carrot
informative,purple,tomato,brown,banana,red,tomato
overinformative,yellow,banana,blue,apple,green,pear
informative,red,avocado,black,avocado,green,pear
informative,black,pepper,orange,pepper,green,tomato
overinformative-cc,red,apple,orange,pear,red,tomato
informative,green,pear,purple,carrot,orange,pear
overinformative,purple,tomato,green,apple,orange,pear
informative,yellow,pear,green,pear,red,pepper
overinformative,green,tomato,red,apple,yellow,pear
overinformative-cc,red,tomato,yellow,banana,purple,carrot
overinformative,red,pepper,green,avocado,green,pear
informative,black,avocado,red,avocado,purple,tomato
informative,brown,carrot,green,avocado,purple,carrot
overinformative-cc,yellow,banana,yellow,pear,red,tomato
overinformative-cc,purple,tomato,brown,banana,green,pear
overinformative,red,apple,black,avocado,orange,carrot
overinformative-cc,yellow,pear,yellow,banana,green,tomato
overinformative,red,pepper,blue,apple,purple,tomato
overinformative-cc,orange,pepper,green,apple,green,avocado
overinformative-cc,orange,carrot,blue,banana,orange,pepper
overinformative,green,apple,blue,banana,yellow,banana
overinformative-cc,red,tomato,purple,carrot,orange,pear
informative,red,tomato,blue,apple,green,tomato
overinformative,blue,apple,black,pepper,red,pepper
informative,blue,banana,yellow,banana,purple,carrot
informative,red,avocado,green,avocado,orange,carrot
overinformative,green,pear,yellow,banana,black,pepper
overinformative-cc,orange,pear,orange,carrot,purple,tomato
informative,red,apple,green,apple,yellow,banana
informative,green,avocado,black,avocado,yellow,banana
overinformative,purple,carrot,brown,banana,orange,pepper
informative,green,apple,red,apple,yellow,pear
overinformative,black,avocado,yellow,banana,green,tomato
informative,purple,carrot,green,avocado,orange,carrot
informative,green,tomato,orange,pear,purple,tomato
overinformative,black,pepper,blue,banana,green,pear
overinformative,green,avocado,purple,carrot,red,tomato
overinformative,red,pepper,yellow,banana,brown,carrot
overinformative,red,avocado,blue,apple,orange,pepper
overinformative-cc,orange,pear,brown,carrot,orange,carrot
overinformative-cc,green,tomato,brown,carrot,red,tomato
informative,blue,banana,yellow,banana,red,tomato
informative,blue,apple,red,apple,green,tomato
overinformative,orange,pepper,blue,apple,red,tomato
overinformative,purple,tomato,blue,apple,green,pear
informative,orange,carrot,purple,carrot,green,pear
informative,orange,pear,purple,carrot,yellow,pear
overinformative,blue,apple,black,avocado,green,avocado
overinformative,green,apple,red,avocado,orange,pepper
informative,brown,carrot,purple,carrot,yellow,pear
overinformative-cc,black,avocado,black,pepper,purple,tomato
overinformative-cc,yellow,banana,yellow,pear,purple,tomato
informative,red,tomato,green,avocado,purple,tomato
informative,green,pear,yellow,pear,black,pepper
informative,black,pepper,yellow,pear,red,pepper
overinformative,black,avocado,orange,carrot,red,pepper
informative-cc,green,avocado,red,avocado,green,pepper
overinformative,brown,banana,orange,carrot,orange,pepper
overinformative,green,tomato,blue,banana,orange,pear
overinformative,red,tomato,black,avocado,blue,banana
informative,yellow,pear,purple,carrot,orange,pear
informative,purple,carrot,red,apple,orange,carrot
overinformative,orange,carrot,black,avocado,green,avocado
informative,red,tomato,orange,carrot,green,tomato
informative,yellow,banana,brown,banana,orange,pepper
informative,blue,banana,brown,banana,orange,carrot
overinformative,red,apple,brown,banana,orange,carrot
overinformative-cc,yellow,pear,brown,banana,yellow,banana
informative,orange,carrot,black,avocado,purple,carrot
overinformative-cc,orange,pepper,green,avocado,green,avocado
overinformative-cc,green,avocado,green,pepper,red,tomato
overinformative-cc,brown,carrot,brown,banana,orange,pear
overinformative,green,avocado,blue,apple,purple,tomato
overinformative-cc,purple,tomato,blue,banana,green,pear
overinformative-cc,blue,banana,blue,apple,black,pepper
informative,brown,banana,yellow,banana,red,tomato
overinformative,black,pepper,green,tomato,red,tomato
overinformative-cc,red,avocado,red,apple,black,pepper
informative,green,pear,yellow,pear,red,pepper
overinformative-cc,green,tomato,orange,pepper,red,tomato
informative,red,apple,green,apple,green,tomato
informative,purple,tomato,black,pepper,red,tomato
overinformative,yellow,pear,brown,carrot,red,tomato
informative,blue,banana,green,apple,yellow,banana
overinformative,green,avocado,blue,banana,brown,banana
overinformative,red,pepper,yellow,banana,purple,carrot
overinformative,orange,pepper,brown,banana,green,pear
informative,brown,carrot,purple,carrot,orange,pear
informative,orange,pepper,yellow,banana,red,pepper
overinformative,green,pear,red,apple,black,avocado
informative,blue,apple,green,apple,red,pepper
overinformative,green,apple,blue,banana,brown,carrot
informative,red,avocado,black,avocado,brown,carrot
informative,purple,carrot,green,avocado,brown,carrot
overinformative,black,pepper,orange,carrot,green,pear
informative,red,tomato,brown,banana,green,tomato
overinformative,red,avocado,brown,carrot,orange,carrot
overinformative-cc,red,pepper,blue,apple,orange,pear
overinformative-cc,red,apple,brown,banana,red,tomato
informative,red,apple,green,apple,orange,carrot
overinformative,green,pear,brown,banana,purple,carrot
informative,red,avocado,green,avocado,orange,pepper
overinformative,green,apple,black,pepper,purple,tomato
overinformative-cc,purple,carrot,green,pear,purple,tomato
informative,brown,carrot,purple,carrot,green,tomato
informative,black,avocado,red,avocado,orange,pear
overinformative,yellow,banana,black,avocado,orange,carrot
informative,purple,carrot,black,avocado,orange,carrot
informative,orange,pepper,red,pepper,green,tomato
overinformative-cc,brown,banana,brown,carrot,green,pear
overinformative,purple,tomato,green,avocado,red,pepper
overinformative,blue,apple,red,avocado,purple,tomato
overinformative-cc,orange,carrot,orange,pepper,purple,tomato
overinformative,orange,pear,red,apple,yellow,banana
overinformative-cc,green,avocado,red,apple,green,pepper
informative,orange,carrot,brown,carrot,black,pepper
overinformative,brown,banana,green,apple,purple,carrot
overinformative-cc,orange,pear,orange,carrot,purple,carrot
informative,black,avocado,green,avocado,purple,carrot
overinformative-cc,black,pepper,black,avocado,purple,carrot
overinformative,brown,carrot,red,apple,black,pepper
overinformative-cc,blue,apple,blue,banana,brown,banana
informative,orange,carrot,purple,carrot,green,tomato
overinformative,orange,carrot,green,avocado,black,pepper
overinformative-cc,orange,pepper,black,avocado,green,avocado
overinformative,black,pepper,orange,carrot,red,tomato
overinformative,yellow,banana,red,apple,purple,carrot
overinformative,purple,carrot,yellow,banana,yellow,pear
overinformative,blue,banana,black,avocado,yellow,pear
overinformative,red,apple,black,avocado,green,pear
informative,orange,pear,green,pear,green,tomato
overinformative,red,pepper,black,avocado,blue,banana
overinformative,brown,banana,green,apple,purple,tomato
informative,yellow,pear,orange,pear,purple,tomato
overinformative-cc,red,tomato,black,avocado,purple,carrot
informative,green,tomato,brown,carrot,purple,tomato
overinformative,green,pear,black,avocado,orange,carrot
overinformative,purple,tomato,yellow,pear,orange,pepper
overinformative-cc,purple,tomato,green,pear,orange,pear
overinformative,yellow,banana,brown,carrot,green,pear
overinformative,green,apple,red,pepper,red,tomato
overinformative-cc,black,avocado,orange,pear,black,pepper
informative,purple,carrot,orange,carrot,red,pepper
informative,brown,carrot,black,avocado,purple,carrot
overinformative,red,avocado,green,pear,purple,tomato
overinformative-cc,black,pepper,black,avocado,blue,banana
informative,green,apple,blue,apple,blue,banana
overinformative,blue,apple,brown,carrot,purple,carrot
informative,red,apple,blue,apple,yellow,pear
overinformative,green,avocado,orange,carrot,red,pepper
overinformative,blue,banana,green,tomato,red,tomato
overinformative,orange,pepper,blue,banana,brown,carrot
overinformative,green,tomato,yellow,banana,orange,pepper
overinformative,black,avocado,yellow,pear,red,pepper
overinformative-cc,yellow,banana,red,apple,yellow,pear
overinformative,red,tomato,green,pear,yellow,pear
informative,red,avocado,black,avocado,brown,banana
informative,blue,apple,red,apple,yellow,pear
overinformative-cc,green,apple,yellow,pear,green,tomato
overinformative-cc,green,avocado,black,pepper,green,pepper
overinformative,red,avocado,green,apple,orange,pear
informative,brown,banana,yellow,banana,orange,pepper
informative,black,avocado,green,avocado,orange,carrot
informative,purple,carrot,red,apple,brown,carrot
informative,red,apple,blue,apple,green,avocado
informative,red,pepper,blue,banana,orange,pepper
overinformative,green,apple,yellow,banana,purple,carrot
overinformative-cc,orange,pear,red,avocado,orange,carrot
overinformative,blue,apple,brown,banana,red,pepper
overinformative-cc,blue,banana,blue,apple,red,tomato
overinformative,brown,carrot,black,avocado,yellow,banana
informative,red,tomato,yellow,banana,purple,tomato
overinformative,yellow,banana,red,apple,brown,carrot
informative,blue,apple,red,apple,yellow,banana
overinformative,red,pepper,green,avocado,blue,banana
overinformative,black,pepper,yellow,banana,orange,carrot
overinformative,green,tomato,blue,apple,red,avocado
overinformative-cc,orange,pepper,green,avocado,green,pear
overinformative,red,apple,brown,banana,purple,tomato
informative,green,pear,blue,banana,yellow,pear
informative,blue,banana,yellow,banana,red,pepper
overinformative-cc,purple,carrot,red,avocado,purple,tomato
informative,green,tomato,red,avocado,red,tomato
informative,orange,pear,brown,carrot,green,pear
overinformative-cc,orange,pear,green,apple,orange,carrot
informative,black,avocado,red,avocado,orange,carrot
overinformative,blue,apple,yellow,banana,yellow,pear
informative,blue,apple,green,apple,yellow,pear
informative,green,pear,red,apple,orange,pear
informative,orange,carrot,yellow,banana,brown,carrot
overinformative-cc,red,avocado,red,apple,purple,tomato
informative,red,apple,blue,apple,yellow,banana
overinformative-cc,red,tomato,purple,carrot,orange,pepper
overinformative-cc,orange,pepper,green,avocado,green,tomato
overinformative,red,avocado,orange,carrot,black,pepper
overinformative,green,tomato,yellow,banana,purple,carrot
overinformative,yellow,banana,blue,apple,orange,pepper
overinformative-cc,green,apple,red,avocado,green,tomato
informative,orange,pepper,blue,apple,black,pepper
overinformative-cc,green,pear,green,apple,purple,tomato
overinformative-cc,brown,carrot,green,apple,brown,banana
overinformative,brown,banana,green,avocado,orange,pepper
overinformative,yellow,pear,red,apple,black,avocado
overinformative-cc,yellow,banana,red,avocado,yellow,pear
overinformative,red,tomato,green,pear,orange,pear
overinformative-cc,orange,carrot,blue,apple,orange,pepper
overinformative,red,pepper,blue,banana,orange,pear
informative,red,tomato,green,apple,green,tomato
